16,0,6.9616,2,1.8524,4.5777,0.18745,0.51206,1.8618,4.606,0.035137,0.26221,-0.063691,-0.14062,3.0524,2.838,0.29825,0.21637,4.5601,0.93189,10.314,2.5596,0.43658,0.19793,4.1861,0.79507,2
14,3,8.2719,5,1.9852,4.8966,0.12824,0.34468,1.9892,4.9083,0.016444,0.11881,-0.23943,-0.13497,1.7227,2.3515,0.16667,0.16667,1.8183,0.86056,4.2006,1.8248,0.19343,0.1018,1.8671,0.55399,0
13,2,7.9097,5,1.838,4.7453,0.19252,0.47075,1.8476,4.7677,0.037063,0.22161,-0.14951,-0.24087,2.1726,1.6894,0.08,0.08,1.9811,0.88159,4.529,1.9271,0.16198,0.098369,1.458,0.36226,0
13,0,5.6866,6,1.9013,4.7047,0.18988,0.46935,1.9107,4.7279,0.036053,0.22029,-0.27543,0.084296,3.0763,2.464,0.23622,0.22835,3.9926,1.0175,8.948,2.2917,0.38761,0.17738,3.7697,0.88047,1
11,1,5.5021,2,1.9907,4.7333,0.12596,0.44662,1.9946,4.7537,0.015865,0.19947,-0.42556,-0.94169,3.0407,3.4008,0.19444,0.27778,2.0347,0.83801,4.1893,1.6423,0.21156,0.11173,2.1002,0.6481,1
11,1,7.1303,11,2.0074,4.7955,0.13471,0.31674,2.0113,4.8045,0.018146,0.10032,0.38737,0.43858,1.5982,1.5527,0.42857,0.14286,1.6647,0.95999,3.2325,1.8853,0.091845,0.057439,0.85875,0.38242,0
11,2,6.765,8,1.9586,4.8498,0.14005,0.38003,1.9634,4.864,0.019615,0.14443,-0.93303,-0.59591,3.2905,2.5875,0.41667,0.083333,1.8355,0.83139,3.9191,1.7304,0.17783,0.097629,1.6598,0.80183,0
11,0,4.7563,5,1.9298,4.6067,0.17102,0.45582,1.9373,4.6289,0.029247,0.20777,0.12105,0.1307,2.9923,2.755,0.33721,0.24419,3.0748,0.72265,7.3089,1.9156,0.32803,0.15387,3.0971,0.89003,1
13,0,7.024,7,1.7298,4.4803,0.18306,0.45547,1.7394,4.5031,0.03351,0.20745,0.33736,-0.0085162,2.7675,2.6417,0.19192,0.25253,3.5697,1.1036,7.9615,2.0757,0.28395,0.11874,3.3431,0.93705,2
12,3,6.425,3,1.6327,4.3187,0.16059,0.4566,1.6404,4.3424,0.025789,0.20848,0.22335,-0.48305,2.5573,2.4832,0.33333,0.40351,2.8649,1.1391,6.3306,2.0553,0.19293,0.085562,2.241,0.70634,2
22,1,10.3,8,2.3257,5.5797,0.40261,0.84746,2.36,5.643,0.16209,0.71819,0.08922,-0.085482,1.8909,1.9806,0.081633,0.05102,3.7668,1.0707,6.5955,1.713,0.33469,0.14833,4.4123,0.88099,1
13,2,6.6284,6,1.8716,4.816,0.20175,0.62113,1.8823,4.8554,0.040702,0.3858,0.64111,-0.0098987,3.9827,2.9299,0.2619,0.21429,3.2336,1.0198,6.4679,1.7701,0.28332,0.11252,3.3928,0.715,1
6,1,4.1354,4,1.6957,4.4526,0.082021,0.23959,1.6974,4.4583,0.0067275,0.057404,-0.042674,0.18212,2.0231,1.5818,0.75,0.375,1.5179,0.86703,3.0747,1.6243,0.0847,0.053053,1.1496,0.5448,2
12,0,6.6444,6,1.8232,4.7321,0.17361,0.52819,1.8313,4.7608,0.03014,0.27899,-0.24645,-0.55337,2.0849,2.729,0.45455,0.34091,2.4672,1.0413,5.3222,1.8113,0.1693,0.082296,2.0557,0.64459,1
